Name,Id,Brief,Min,Availability,Link
,,,,,
6 MW Renewable energy generation project by Varam Powe…,697,"Varam Power Projects (P) Ltd is a 6 MW independent biomass based power plant at Chilakapalem Village, Andhra Pradesh, India. It uses agricultural residues, like rice husk, sugarcane bagasse or corn cob, as fuel to generate electricity for the state grid.",USD 3.00,18397,https://offset.climateneutralnow.org/6-mw-renewable-energy-generation-project-by-varam-power-projects-in-india?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335%26PageNumber%3D2
,,,,,
The TIMARPUR-OKHLA Waste Management Company Pvt Ltd's…,1254,"Timarpur Okhla Integrated Waste processing facility is India's first waste-to-energy project. It was established in January 2012 under a public-private partnership model of the Government of Delhi. This facility processes 2,000 tonnes of solid waste per day and produces 16 MW of renewable energy.",USD 1.50,497,https://offset.climateneutralnow.org/the-timarpur-okhla-waste-management-company-pvt-ltds-towmcl-intergrated-waste-to-energy-project-in-delhi?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335%26PageNumber%3D2
,,,,,
2.5 MW Rice husk based cogeneration plant at Hanuman A…,1667,"Hanuman Agro Industries Limited (HAIL) is a public limited company, incorporated in 1994 with the main objectives of carrying out business activities in the field of Paper & Power Generation using conventional or non-conventional fuel.",USD 2.00,34705,https://offset.climateneutralnow.org/25-mw-rice-husk-based-cogeneration-plant-at-hanuman-agro-industries-limited?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335%26PageNumber%3D2
,,,,,
10 MW Biomass Based Renewable Energy Generation for th…,1541,"Saradambika is a 10 MW Biomass Power Plant located in Chimur, India. The project conserves local resources, reduces pressure on the environment, and improves health conditions in the community. The emissions reductions of the project are estimated at 353,487 tonnes of CO2 eq. over the crediting period of 10 years.",USD 3.00,22870,https://offset.climateneutralnow.org/10-mw-biomass-based-renewable-energy-generation-for-the-grid-at-saradambika-power-plant-private-limited-at-chandrapur-district-maharashtra?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335%26PageNumber%3D2
,,,,,
"5 MW Wind Power Project at Baramsar and Soda Mada, dis…",267,"With over 50 years of experience, Transport Corporation of India Limited is the largest integrated supply chain and logistics solutions provider in India. In 2003, the company entered the energy sector looking to promote non-conventional energy means. Currently, it holds 11.50 MW windmills in Rajasthan and Maharashtra.",USD 1.75,4000,https://offset.climateneutralnow.org/5-mw-wind-power-project-at-baramsar-and-soda-mada-district-jaisalmer-rajasthan-india?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335%26PageNumber%3D2
,,,,,
"Upgradation, Operation and Maintenance of 200 TPD Comp…",2470,"The Okhla Compost Plant is a part of the Integrated Scientific Waste Management Scheme of Delhi. It processes over 200 tons of waste from dumpsites every day. The compost produced in the plant is used by local farmers to rejuvenate the soil, that has been affected due to overuse of chemical fertilizers.",USD 5.00,43388,https://offset.climateneutralnow.org/upgradation-operation-and-maintenance-of-200-tpd-composting-facility-at-okhla-delhi-2470-?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335
,,,,,
